country_code,country_name,visa_type,requirement_category,requirement_detail,processing_days,validity_months,max_stay_days,cost_usd,difficulty_level
Dubai,United Arab Emirates,Visit,Documents,Valid passport (minimum 6 months validity),1,12,30,0,EASY
Dubai,United Arab Emirates,Visit,Financial,Proof of sufficient funds (AED 20,000+),1,12,30,0,EASY
Dubai,United Arab Emirates,Work,Employment,Employment contract from UAE employer,7,24,1095,3500,HARD
Dubai,United Arab Emirates,Work,Police,Certificate of good conduct,7,24,1095,3500,HARD
France,France,Schengen Visitor,Documents,Valid passport valid for 3+ months beyond trip,10,90,90,100,EASY
France,France,Schengen Visitor,Financial,Proof of sufficient funds (€1,934 minimum),10,90,90,100,EASY
France,France,Long Stay,Accommodation,Proof of accommodation in France,30,12,365,125,MEDIUM
Malaysia,Malaysia,Visitor,Documents,Valid passport valid beyond stay period,2,12,90,0,EASY
Malaysia,Malaysia,Visitor,Financial,Proof of funds for stay (RM 10,000 minimum),2,12,90,0,EASY
Malaysia,Malaysia,Work,Employment,Approved job offer from Malaysian company,14,24,1095,1200,HARD
Thailand,Thailand,Tourist,Documents,Valid passport (6+ months validity),0,60,90,0,EASY
Thailand,Thailand,Tourist,Accommodation,Hotel booking or accommodation details,0,60,90,0,EASY
Thailand,Thailand,Work,Employment,Approval from Thai Department of Employment,14,12,365,2000,HARD
Spain,Spain,Schengen Visitor,Documents,Valid passport valid for 3+ months beyond trip,10,90,90,90,EASY
Spain,Spain,Schengen Visitor,Financial,Proof of funds (€2,142 minimum recommended),10,90,90,90,EASY
India,India,Tourist,Documents,Valid passport with minimum 6 months validity,5,60,90,60,EASY
India,India,Tourist,Financial,Proof of return tickets and accommodation,5,60,90,60,EASY
India,India,Business,Employment,Business invitation letter,5,12,90,60,MEDIUM
